NOMBREADJUDICADO,total_pagado,num_contratos,pago_promedio,num_regiones,num_servicios,años_activo,CLUSTER
CONSORCIO AXIOMA - APTTA FUTRONO LIMITADA,254071197,1,36295885.28571428,1,1,3,0
CONSORCIO CERRO CASTILLO - LAGUNA VERDE LIMITADA,9786526122,1,489326306.1,1,1,3,0
CONSORCIO CHILE CHICO S.A.,2132442208,1,152317300.57142857,1,1,3,0
CONSORCIO CONS.EDECO-KODAMA SA,3806237643,1,237889852.6875,1,1,2,0
CONSORCIO CONSTRUCCIONES RSN LIMITADA,22683007500,1,1512200500.0,1,1,5,0
CONSORCIO CONSTRUCTOR BAHIA CHILOTA S.A.,2036583639,1,509145909.75,1,1,2,0
CONSORCIO CONSTRUCTOR BROTEC QUILIN  LTDA.,6937183113,1,867147889.125,1,1,1,0
CONSORCIO CONSTRUCTOR BROTEC-CIL S.A.,14024107686,1,500860988.78571427,1,1,4,0
CONSORCIO CONSTRUCTOR CUESTA CAMARONES LTDA.,28811264906,1,1108125573.3076923,1,1,5,0
CONSORCIO CONSTRUCTOR EMBALSE EL BATO LTDA,480281566,2,80046927.66666667,1,1,4,0
CONSORCIO CONSTRUCTOR LEVY JOFRE-DALCO INGENIERIA,6029492445,1,241179697.8,1,1,3,0
CONSORCIO CONSTRUCTOR PUENTE SANTA ELVIRA S.A.,19911494265,1,711124795.1785715,1,1,5,0
CONSORCIO COP - RIO MAULE LTDA.,3979389044,1,306106849.53846157,1,1,3,0
CONSORCIO COPASA-CORSAN-CORVIAM DOS LTDA,19450402721,1,670703542.1034483,1,1,5,0
CONSORCIO COPASA-CORSAN-CORVIAM LTDA,17354105766,2,403583855.0232558,1,1,6,0
CONSORCIO COSAL-KALAM SPA,16406665063,1,349077980.0638298,1,1,5,0
CONSORCIO DDQ-APSA DIAGNOSTICO DE PUENTES LIMITADA,1649851900,1,183316877.7777778,1,1,2,0
CONSORCIO DOP40 EMBARCADERO LLIFÉN SPA,1275089689,1,255017937.8,1,2,2,0
CONSORCIO EMBALSE CHIRONTA S.A,111424824839,2,1797174594.1774194,1,1,7,0
CONSORCIO EXCON ASFALCURA S.A.,13136138562,1,875742570.8,1,1,2,0
CONSORCIO ICAFAL SICOMAQ LO ROJAS LTDA.,5039342132,1,314958883.25,1,1,3,0
CONSORCIO ICAFAL SICOMAQ PUENTE QUILLAGUA LTDA.,12607149989,1,900510713.5,1,2,3,0
CONSORCIO ICAFAL SICOMAQ RUTA L45 LTDA,16334319344,1,526913527.2258065,1,2,3,0
CONSORCIO ICAFAL SICOMAQ RUTA S-839 LIMITADA,5975843528,1,663982614.2222222,1,2,2,0
CONSORCIO ICAFAL-SICOMAQ LTDA.,12284412574,1,372254926.4848485,1,1,4,0
CONSORCIO ICEAL - MAULE S.A.,7740440213,1,455320012.5294118,1,1,2,0
CONSORCIO ICEAL - MAULE TUBUL S.A.,6469750474,1,404359404.625,1,1,3,0
CONSORCIO ICEAL MAULE ISLA SANTA MARIA S.A.,4042483148,1,212762270.9473684,1,1,2,0
CONSORCIO ICEAL MAULE LICAN RAY S.A,1604436918,1,106962461.2,1,1,2,0
CONSORCIO ICEAL MAULE MAGUELLINES S.A.,5507085538,1,305949196.5555556,1,1,3,0
CONSORCIO ICEAL TIEMPO NUEVO CAIPULLI S.A.,1479868092,1,164429788.0,1,1,2,0
CONSORCIO II CONSULT. EN ADMIN. DE PAVI. APSA LTDA,132129927,1,22021654.5,1,1,3,0
CONSORCIO IMACO - AIRES DEL SUR SPA,20843157120,1,473708116.3636364,1,1,5,0
CONSORCIO INGENIERIA PUENTE YELCHO LTDA,219807812,1,31401116.0,1,1,3,0
CONSORCIO INTRAT LIMITE LIMITADA,149586826,1,37396706.5,1,1,2,0
CONSORCIO LAVEL HINOCOR SPA,1269997022,2,97692078.61538461,1,2,2,0
CONSORCIO MACRO INGENIEROS Y FRACTAL,446407380,1,74401230.0,1,2,3,0
CONSORCIO PIDDO DOLMEN LTDA.,727867862,2,60655655.166666664,1,3,3,0
CONSORCIO PUENTE CHACAO S.A,236923290303,1,11846164515.15,1,2,7,2
CONSORCIO PUERTO WILLIAMS ARAUCO CONPAX S.A.,9956948965,1,585702880.2941177,1,2,4,0
CONSORCIO QUILIN - ECOPSA II LIMITADA,5174736853,1,235215311.5,1,3,3,0
CONSORCIO QUILIN - FV LIMITADA,2305293373,1,256143708.1111111,1,1,2,0
CONSORCIO RIO MAULE - ARAUCO LTDA,2467488806,1,189806831.23076922,1,1,4,0
CONSORCIO RUTA 24 CUESTA BARRILES FV COP LIMITADA,13227412594,1,696179610.2105263,1,1,3,0
CONSORCIO RUTA 31 CH - 2 SPA.,3652292349,1,521756049.85714287,1,2,2,0
CONSORCIO RUTA 31 CH-1 SPA,3368873000,1,421109125.0,1,2,2,0
CONSORCIO RUTA 60 CH - CAMINO LA POLVORA LIMITADA,17692917666,1,737204902.75,1,1,3,0
CONSORCIO RUTA A-27 LIMITADA,974434770,1,162405795.0,1,1,2,0
"CONSORCIO RUTA A-31, TICNAMAR - BELEN FV-APIA LTDA",3448692919,1,492670417.0,1,1,2,0
CONSORCIO RUTA A-545 CRUCE A-555 FV-APIA LIMITADA,3111031483,1,444433069.0,1,1,3,0
CONSORCIO RUTA A-616 FV-APIA LIMITADA,2082018274,1,416403654.8,1,1,2,0
CONSORCIO RUTA V-85 EL YALE CALBUCO SPA,10700900929,1,1070090092.9,1,2,2,0
